Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
Aarakocra,Medium,Monstrous Humanoid,,1,4,20,f90 (avg),13,12,11,0,Talon +0 (1d4-1) or javelin +3 (1d6-1),2 talons or javelin,"Bite, summon Large air elemental",,-,0,4,2,9,15,10,10,11,10,Warm mountains,often,NG,1/2,MoF,,,Non-MM1 entries have been modified to resemble these entries in format,,,,Any duplicate creatures use only the most recently release statblock,,,,,,,,,
Aballin,Large,Ooze,,3,22,20,s40,10,10,9,11,Slam +6 (1d8+7 plus drown),Same as Attack,Drown,,"Blindsight, DR 10/bludgeoning and magic, immunity to cold, electricity, and fire, passive state, vulnerable to water-affecting spells",3,2,0,21,13,14,-,9,6,Any land and underground,always,NN,4    ,MoF,,,Large-font entries are unique creatures; Deities have been omitted,,,Creatures who could not be played in a default-campaign-setting game without adaptation have been omitted. This largely means outsiders native to planes unique to other settings,,,,,,,,,,
"Abeil, Queen",Medium,Monstrous Humanoid,,14,105,40,f80 (gd),11,11,10,18,Claw +18 (1d6+4) or sickle +18 (1d6+4) or masterwork composite longbow (+4 Str bonus) +16 (1d8+4/x3),2 claws +18 (1d6+4) and sting +13 (2d4+2 plus poison); or sickle +18/+13/+8 (1d6+4) and sting +13 (2d4+2 plus poison); or masterwork composite longbow (+4 Str bonus) +16/+11/+6 (1d8+4/x3),"Drone, improved grab, spells (drd16)",,"DR 10/magic, DV60, hive mind, SR 21",9,10,14,18,13,16,15,21,18,Temperate plains,usually,LX,12,MM2,,,,,,,,,,,,,,,,
"Abeil, Soldier",Large,Monstrous Humanoid,,6,45,40,f90 (gd),10,10,9,16,Claw +11 (1d6+6) or Huge ranseur +11 (2d6+9/x3) or Huge masterwork composite longbow (+6 Str bonus) +7 (2d6+6/x3),2 claws +11 (1d6+6) and sting +6 (1d8+3 plus poison); or Huge ranseur +11/+6 (2d6+9/x3) and sting +6 (1d8+3 plus poison); or Huge masterwork composite longbow (+6 Str bonus) +7/+2 (2d6+6/x3),"Drone, improved grab, poison, stormwing",,"DR 5/magic, DV60, hive mind, special enemy",5,6,6,22,13,16,9,12,13,Temperate plains,usually,LX,6    ,MM2,,MM1,Monster Manual,DotU,Drow of the Underdark,Planar,Planar Handbook,ToHS,Towers of High Sorcery,CotSQ,City of the Spider Queen,Aldriv,Aldriv's Revenge,Exp,Expedition to the Demonweb Pits,
"Abeil, Vassal",Medium,Monstrous Humanoid,,1,4,30,f60 (avg),11,11,10,1,Claw +1 (1d4) or light flail +1 (1d8) or javelin +2 (1d6),2 claws +1 (1d4) and sting -4 (1d6 plus poison); or light flail +1 (1d8) and sting -4 (1d6 plus poison); or javelin +2 (1d6),"Drone, improved grab, poison",,"DV60, hive mind",0,3,4,11,13,10,10,14,9,Temperate plains,usually,LX,2    ,MM2,,MM2,Monster Manual 2,Dunge,Dungeonscape,Psi,Psionics Handbook (Web Enhancement),SoS,Spectre of Sorrows,CoV,Champions of Valor,Loona,"Loona, Port of Intrigue",ToH,Tomb of Horror,
Aboleth,Huge,Aberration,"Aquatic, Psionic",8,76,10,s60,16,9,15,22,Tentacle +12 (1d6+8 plus slime),4 tentacles,"PLAs, slime","ML7, 3/day - ego whip (2d4*), id insinuation (three targets*); ML13, at will - disable (30ft cone, 12HD*), false sensory input (five targets*), mental disruption (20ft radius*), mindlink (unwilling, 9 targets*); 3/day - psionic dominate (any target, 24 hrs*), thought shield (PR 21, 3 rds*); 1/day - psionic modify memory, remote viewing, wall of ectoplasm","DV60, mucus cloud",7,3,11,26,12,20,15,17,17,Underground,usually,LE,7    ,"MM1, EPH",,MM3,Monster Manual 3,ElderE,Elder Evils,RoS,Races of Stone,PoC,Price of Courage,WD,City of Splendors: Waterdeep,MT,Midnight's Terror,RTF,Return to the Temple of the Frog,
"Aboleth, Aerial (Uobilyth)",Huge,Aberration,"Air, Psionic",8,76,10,f60 (gd),16,9,15,22,Tentacle +12 (1d6+8 plus slime),4 tentacles,"PLAs, slime","ML7, 3/day - ego whip (2d4*), id insinuation (three targets*); ML13, at will - disable (30ft cone, 12HD*), false sensory input (five targets*), mental disruption (20ft radius*), mindlink (unwilling, 9 targets*); 3/day - psionic dominate (any target, 24 hrs*), thought shield (PR 21, 3 rds*); 1/day - psionic modify memory, remote viewing, wall of ectoplasm","DV60, mucus cloud",7,3,11,26,12,20,15,17,17,Underground,usually,CE or NE,7    ,LoM,,MM4,Monster Manual 4,ELH,Epic Level Handbook,RotW,Races of the Wild,ECS,Eberron Campaign Setting,ExUn,Expedition to Undermountain,SotAC,Secrets of the Alubelok Coast,Sheep,Sheep's Clothing,
"Aboleth, Amphibious",Huge,Aberration,"Aquatic, Psionic",8,76,20,s40,16,9,15,22,Tentacle +12 (1d6+8 plus slime),4 tentacles,"PLAs, slime","ML7, 3/day - ego whip (2d4*), id insinuation (three targets*); ML13, at will - disable (30ft cone, 12HD*), false sensory input (five targets*), mental disruption (20ft radius*), mindlink (unwilling, 9 targets*); 3/day - psionic dominate (any target, 24 hrs*), thought shield (PR 21, 3 rds*); 1/day - psionic modify memory, remote viewing, wall of ectoplasm","Amphibious, DV60, mucus cloud",7,3,11,26,12,20,15,17,17,Underground,usually,LE,7    ,LoM,,MM5,Monster Manual 5,EPH,Expanded Psionics Handbook,Sand,Sandstorm,Sarlo,Secrets of Sarlona,ItDL,Into the Dragon's Lair,SaD,Stand and Deliver,DS,Desert Sands,
"Aboleth, Mage",Huge,Aberration,"Aquatic, Psionic",18,177,10,s60,18,11,15,28,Tentacle +18 (1d6+9 plus slime),4 tentacles,"Enslave, PLAs, slime, spells (wiz10)","ML7, 3/day - ego whip (2d4*), id insinuation (three targets*); ML13, at will - disable (30ft cone, 12HD*), false sensory input (five targets*), mental disruption (20ft radius*), mindlink (unwilling, 9 targets*); 3/day - psionic dominate (any target, 24 hrs*), thought shield (PR 21, 3 rds*); 1/day - psionic modify memory, remote viewing, wall of ectoplasm","DV60, mucus cloud",15,10,15,28,16,24,20,16,14,Underground,usually,LE,17,"MM1, EPH",,A&E,Arms & Equipment Guide,FF,Fiend Folio,SvgSp,Savage Species (Web Enhancement),Xen'd,Secrets of Xen'drik,LEoF,Lost Empires of Faerûn,Kruk,The Lost Tomb of Kruk-Ma-Kali,SD,Stone Dead,
"Aboleth, Stygian",Garg.,Aberration,"Aquatic, Cold, Psionic",24,276,10,s60,18,7,17,42,Tentacle +26 (3d6+12 plus slime),4 tentacles and bite +22 (2d8+6),"PLAs, slime, smite good 1/day","ML7, 3/day - ego whip (2d4*), id insinuation (three targets*); ML13, at will - disable (30ft cone, 12HD*), false sensory input (five targets*), mental disruption (20ft radius*), mindlink (unwilling, 9 targets*); 3/day - psionic dominate (any target, 24 hrs*), thought shield (PR 21, 3 rds*); 1/day - psionic modify memory, remote viewing, wall of ectoplasm","DR 10/magic, DV60, immunity to cold, mucus cloud, SR 25, vulnerability to fire",15,11,19,34,12,24,15,17,17,The Abyss (Stygia),always,LE,15,LoM,,BoED,Book of Exalted Deeds,FC1,Fiendish Codex 1,Storm,Stormwrack,FoW,The Forge of War,RoF,Races of Faerûn,SoCo,Something's Cooking,BoBS,Bastion of Broken Souls,
