Name,Type,Climate,Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,% in Lair,Treasure,Alignment,No. Appearing,AC,Movement,HD,Thac0,No. Attacks,Damage,Special Attack,Special Defence,MR,Size,Morale,Psionic Ability,A/D Modees,Level,XP,Source,Edition
Aarakocra,Monstrous Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),5%,D,NG,1-10,7,"6, Fl 36",1+2,N/A,2,1-3(x2) or by weapon,Nil,Nil,Standard,M ,N/A,Nil,Nil,II,28+2,TSR 2012 - Fiend Folio (First Edition),1e
Aarakocra,Monstrous Humanoid,Temperate to Tropical,Mountains,Very Rare,Tribe,Day,Carnivore,Average (8-10),N/A,D,NG,1-10,7,"6, Fl 36 (C)",1+2,19,2,1-3(x2) or 2-8 (weapon),Dive+4,Nil,Nil,M (20' Wingspan),11,Nil,Nil,N/A,65,TSR 2140 - Monstrous Manual (Second Edition),2e
Aarakocra,Monstrous Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),5%,D,NG,1-10,7,"6, Fl 36",1+2,N/A,2,1-3(x2) or by weapon,Nil,Nil,Standard,M ,N/A,Nil,Nil,II,28+2,TSR 2012 - Fiend Folio (First Edition),1e
Aarakocra - Athasian,Monstrous Humanoid,Any,Deep Desert,Rare,Tribe,Day,Carnivore,Average (8-10),N/A,Varies,Any,1-10,7,"6, Fl 36 (C)",2+2,17,2,1-3(x2) or by weapon,Nil,Nil,Nil,M (with 20'+ wingspan),11,30,"EW,MT/IF,TW",N/A,65,"TSR 2433 - Monstrous Compendium, Dark Sun Appendix II",2e
Aarakocra - Malatran,Monstrous Humanoid,Tropical,Mountains and Plains,Very Rare,Tribe,Day,Carnivore,Average (8-10),N/A,D,NG,1-10,7,"6, Fl 36 (C)",1+2,19,2,1-3(x2) or 2-8,Dive +2,Nil,Nil,M (20' wingspan),11,Nil,Nil,N/A,65,Polyhedron121,2e
Aartuk - Elder,Plant,Any,Any,Very Rare,Tribe,Any,Omnivore,High (13-14),N/A,W (I),LE,1 per tribe,5 (6),5 (6),5+1,15,1,5-30,Spells,Special,Nil,L (8'),15-16,Nil,Nil,N/A,3000,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Aartuk - Warrior,Plant,Any,Any,Rare,Tribe,Any,Omnivore,Average (8-10),N/A,Q (I),LE,10-100,6 (6),6 (6),2+1,19,1,1-8,Nil,Nil,Nil,M (6'),11-12,Nil,Nil,N/A,120,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Aasimar,Outsider,Any,Any,Rare,Solitary,Any,Omnivore,Very (11-12),N/A,"R,U",Non-E,1 (1-2),3 (10),12,3+3,17,1,1-3 or by weapon,Spell Use,"1/2 damage from fire and cold; +2 to saves vs charm, emotion, fear, and domination",10%,M (5.5-6.5'),13-14,Nil,Nil,N/A,420,TSR 2613 - Monstrous Compendium - Planescape Appendix II,2e
Aasimon - Agathinon,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Very to Genius (11-18),0%,Nil,NG,1,0,18,7+7,N/A,2,By weapon,Special,Special,35%,M-L,N/A,177,All/All,VII,1800+10,TSR 2016 - Monster Manual II (First Edition),1e
Aasimon - Agathinon,Outsider,Upper Planes or Prime,Any,Uncommon (Upper) - Very Rare (Prime),Army (Upper) - Solitary (Prime),Any,Omnivore,Exceptional (15-16),N/A,Incidental,NG,1 (50-100),0,15,8,13,1,By weapon or special,Special,+1 to hit; Special,20%,Special,13-14,Nil,Nil,N/A,30500,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
Aasimon - Agathinon,Outsider,Upper Planes,Any,Uncommon (upper) or Very Rare,Army (Upper) or Solitary,Any,Omnivore,Exceptional (15-16),N/A,Incidental,NG,50-100 or 1,0,15,8,13,1 or special,By weapon or special,Special,Special,20%,Special,13-14,Nil,Nil,N/A,8000,TSR 2602 - Monstrous Compendium - Planescape Appendix I,2e
Aasimon - Deva - Astral,Outsider,Upper Planes,Any,Very Rare,Solitary,Any,Omnivore,Genius (17-18),N/A,Nil,G,1 (1-3),-5,"24, Fl 48 (B)",12,9,2,3-18(x2),Disruption,+2 to hit; Protection; Never surprised; Immunities,70%,M (7'),19-20,Nil,Nil,N/A,60000,"TSR 2118 - Monstrous Compendium, Outer Planes Appendix",2e
